Term,Artist,Song,Album,Release Date
medium_term,Catfish and the Bottlemen,Cocoon,The Balcony,2014-09-15
medium_term,Catfish and the Bottlemen,Kathleen,The Balcony,2014-09-15
medium_term,Tate McRae,run for the hills,THINK LATER,2023-12-08
medium_term,Catfish and the Bottlemen,Fallout,The Balcony,2014-09-15
medium_term,Miley Cyrus,Jaded,Endless Summer Vacation,2023-08-18
medium_term,Billie Eilish,Halley's Comet,Happier Than Ever,2021-07-30
medium_term,Billie Eilish,ocean eyes,Ocean Eyes,2016-11-18
medium_term,Billie Eilish,Happier Than Ever,Happier Than Ever,2021-07-30
medium_term,Catfish and the Bottlemen,7,The Ride,2016-05-27
medium_term,Bad Omens,Just Pretend,THE DEATH OF PEACE OF MIND,2022-02-25
medium_term,Miley Cyrus,Used To Be Young,Endless Summer Vacation,2023-08-18
medium_term,Young the Giant,Mr. Know-It-All,Home of the Strange,2016-08-12
medium_term,Catfish and the Bottlemen,2all,The Balance,2019-04-26
medium_term,Catfish and the Bottlemen,Rango,The Balcony,2014-09-15
medium_term,Hozier,First Time,Unreal Unearth,2023-08-18
medium_term,Måneskin,SUPERMODEL,RUSH!,2023-01-20
medium_term,Billie Eilish,I Didn't Change My Number,Happier Than Ever,2021-07-30
medium_term,Bad Omens,Take Me First,THE DEATH OF PEACE OF MIND,2022-02-25
medium_term,Catfish and the Bottlemen,Sidewinder,The Balcony,2014-09-15
medium_term,Loveless,happier than ever,happier than ever,2022-01-21
medium_term,Conan Gray,Maniac,Kid Krow,2020-03-20
medium_term,The Snuts,Hallelujah Moment,Burn The Empire,2022-09-30
medium_term,Hozier,De Selby (Part 2),Unreal Unearth,2023-08-18
medium_term,Tate McRae,greedy,greedy,2023-09-15
medium_term,Catfish and the Bottlemen,Anything,The Ride,2016-05-27
medium_term,Dolly Parton,Wrecking Ball,Wrecking Ball,2023-10-20
medium_term,The Snuts,Knuckles,Burn The Empire,2022-09-30
medium_term,Tate McRae,exes,exes,2023-11-17
medium_term,BØRNS,The Emotion,Dopamine,2015-10-16
medium_term,Catfish and the Bottlemen,Emily,The Ride,2016-05-27
medium_term,Dance Gavin Dance,We Own the Night,Instant Gratification,2015-04-14
medium_term,Catfish and the Bottlemen,Hourglass,The Balcony,2014-09-15
medium_term,Hozier,Eat Your Young,Unreal Unearth,2023-08-18
medium_term,Tonight Alive,Wasting Away,Consider This,2011-11-15
medium_term,Miley Cyrus,Used To Be Young,Used To Be Young,2023-08-25
medium_term,Tate McRae,she's all i wanna be,i used to think i could fly,2022-05-27
medium_term,Sabrina Carpenter,buy me presents,fruitcake,2023-11-17
medium_term,Tate McRae,we're not alike,THINK LATER,2023-12-08
medium_term,Billie Eilish,Therefore I Am,Therefore I Am,2020-11-12
medium_term,Tate McRae,grave,THINK LATER,2023-12-08
medium_term,Olivia Rodrigo,all-american bitch,GUTS,2023-09-08
medium_term,Dance Gavin Dance,Die Another Day,Jackpot Juicer,2022-07-29
medium_term,Young the Giant,Cult of Personality,American Bollywood,2022-11-16
medium_term,Billie Eilish,wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
medium_term,Young the Giant,Mind Over Matter (Reprise),Mirrorball / Mind Over Matter (Reprise),2015-04-18
medium_term,Catfish and the Bottlemen,Pacifier,The Balcony,2014-09-15
medium_term,Billie Eilish,Male Fantasy,Happier Than Ever,2021-07-30
medium_term,Hozier,All Things End,Unreal Unearth,2023-08-18
medium_term,J. Cole,Crooked Smile (feat. TLC),Born Sinner (Deluxe Version),2013-06-18
medium_term,Taylor Swift,Delicate,reputation,2017-11-10
medium_term,Hozier,Abstract (Psychopomp),Unreal Unearth,2023-08-18
medium_term,Hozier,Damage Gets Done (feat. Brandi Carlile),Unreal Unearth,2023-08-18
medium_term,Conan Gray,People Watching,Superache,2022-06-24
medium_term,Young the Giant,Repeat,Home of the Strange,2016-08-12
medium_term,Dance Gavin Dance,Young Robot,Mothership,2016-10-07
medium_term,Escape the Fate,One For the Money,Ungrateful,2013-05-14
medium_term,The Struts,Could Have Been Me,Everybody Wants,2016-03-04
medium_term,Bazzi,3:15,COSMIC,2018-04-12
medium_term,Greta Van Fleet,Light My Love,The Battle at Garden’s Gate,2021-04-16
medium_term,Taylor Swift,illicit affairs,folklore,2020-07-24
medium_term,Doja Cat,Kiss Me More (feat. SZA),Planet Her,2021-06-25
medium_term,Billie Eilish,bellyache,Bellyache,2017-02-24
medium_term,Doja Cat,Agora Hills,Scarlet,2023-09-22
medium_term,Tonight Alive,Lonely Girl,The Other Side,2013-09-10
medium_term,Bad Omens,THE DEATH OF PEACE OF MIND,THE DEATH OF PEACE OF MIND,2022-02-25
medium_term,Billie Eilish,Oxytocin,Happier Than Ever,2021-07-30
medium_term,Billie Eilish,lovely (with Khalid),lovely (with Khalid),2018-04-19
medium_term,Billie Eilish,Lost Cause,Happier Than Ever,2021-07-30
medium_term,Young the Giant,Apartment - 2020 Remaster,Young The Giant (10th Anniversary Edition),2010-10-25
medium_term,Catfish and the Bottlemen,Oxygen,The Ride,2016-05-27
medium_term,Dance Gavin Dance,Death of a Strawberry,Instant Gratification,2015-04-14
medium_term,Hozier,Unknown / Nth,Unreal Unearth,2023-08-18
medium_term,Conan Gray,Winner,Winner,2023-08-25
medium_term,John Mayer,Slow Dancing in a Burning Room,Continuum,2006-09-11
medium_term,Catfish and the Bottlemen,Fluctuate,The Balance,2019-04-26
medium_term,Miley Cyrus,Angels Like You,Plastic Hearts,2020-11-27
medium_term,Billie Eilish,Billie Bossa Nova,Happier Than Ever,2021-07-30
medium_term,Taylor Swift,Cruel Summer,Lover,2019-08-23
medium_term,Wind Walkers,Without Me,Without Me,2018-10-24
medium_term,Billie Eilish,No Time To Die,No Time To Die,2020-02-13
medium_term,Olivia Rodrigo,bad idea right?,GUTS,2023-09-08
medium_term,Conan Gray,Wish You Were Sober,Kid Krow,2020-03-20
medium_term,Young the Giant,Crystallized,Mind Over Matter,2014-01-17
medium_term,Tate McRae,you broke me first,you broke me first,2020-04-17
medium_term,Greta Van Fleet,Black Smoke Rising,From The Fires,2017-11-10
medium_term,The Warning,MORE,MORE,2023-05-12
medium_term,My Chemical Romance,Famous Last Words,The Black Parade,2006-10-23
medium_term,Catfish and the Bottlemen,Homesick,The Balcony,2014-09-15
medium_term,Young the Giant,The Walk Home,American Bollywood,2022-11-16
medium_term,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),2023-09-15
medium_term,Conan Gray,Crush Culture,Sunset Season,2018-11-16
medium_term,Paramore,"For a Pessimist, I'm Pretty Optimistic",Riot!,2007-06-11
medium_term,The Snuts,Seasons,Seasons,2018-06-22
medium_term,Rise Against,Savior,Appeal To Reason,2008-01-01
medium_term,Billie Eilish,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
medium_term,The Snuts,Always,W.L. (Deluxe),2021-04-02
medium_term,Billie Eilish,idontwannabeyouanymore,dont smile at me,2017-12-22
medium_term,KALEO,Way down We Go,A/B,2016-06-10
medium_term,Billie Eilish,all the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
medium_term,Stand Atlantic,"deathwish (feat. nothing,nowhere.)",f.e.a.r.,2022-05-06
medium_term,Greta Van Fleet,Safari Song,From The Fires,2017-11-10
medium_term,Hozier,Almost (Sweet Music),"Wasteland, Baby!",2019-03-01
medium_term,Nickelback,Savin' Me,All the Right Reasons,2005-09-26
medium_term,Creed,One Last Breath,Weathered,2001-01-01
medium_term,Greta Van Fleet,Meeting The Master,Starcatcher,2023-07-21
medium_term,Bad Omens,CONCRETE JUNGLE,THE DEATH OF PEACE OF MIND,2022-02-25
medium_term,VOILÀ,Therapy,Happy Never After,2022-10-07
medium_term,Hozier,Francesca,Unreal Unearth,2023-08-18
medium_term,Hozier,Who We Are,Unreal Unearth,2023-08-18
medium_term,All Time Low,Kids In The Dark,Future Hearts,2015-04-07
